Port,Size_MB,Latency_ms
5555,0.0258808,0.110281
5555,0.0259418,0.124321
5555,0.0260029,0.130073
5555,0.0260639,0.155089
5555,0.026125,0.12615
5555,0.026186,0.149207
5555,0.026247,0.119769
5555,0.0263081,0.107961
5555,0.0263691,0.103368
5555,0.0264301,0.114756
5555,0.0264912,0.111547
5555,0.0265522,0.109561
5555,0.0266132,0.107005
5555,0.0266743,0.106759
5555,0.0267353,0.129757
5555,0.0267963,0.095568
5555,0.0268574,0.109719
5555,0.0269184,0.114583
5555,0.0269794,0.10765
5555,0.0270405,0.098128
5555,0.0271015,0.109454
5555,0.0271626,0.123397
5555,0.0272236,0.128148
5555,0.0272846,0.114433
5555,0.0273457,0.123069
5555,0.0274067,0.107645
5555,0.0274677,0.099575
5555,0.0275288,0.100277
5555,0.0275898,0.106776
5555,0.0276508,0.106448
5555,0.0277119,0.098303
5555,0.0277729,0.107677
5555,0.0278339,0.108633
5555,0.027895,0.098814
5555,0.027956,0.104461
5555,0.028017,0.107279
5555,0.0280781,0.097922
5555,0.0281391,0.104051
5555,0.0282001,0.107771
5555,0.0282612,0.109709
5555,0.0283222,0.107196
5555,0.0283833,0.103592
5555,0.0284443,0.098703
5555,0.0285053,0.105743
5555,0.0285664,0.106669
5555,0.0286274,0.110886
5555,0.0286884,0.114208
5555,0.0287495,0.127287
5555,0.0288105,0.13698
5555,0.0288715,0.141093
5555,0.0289326,0.120264
5555,0.0289936,0.131625
5555,0.0290546,0.120441
5555,0.0291157,0.109825
5555,0.0291767,0.112376
5555,0.0292377,0.105947
5555,0.0292988,0.109513
5555,0.0293598,0.141753
5555,0.0294209,0.146187
5555,0.0294819,0.121516
5555,0.0295429,0.168671
5555,0.029604,0.153416
5555,0.029665,0.108607
5555,0.029726,0.109614
5555,0.0297871,0.122268
5555,0.0298481,0.119322
5555,0.0299091,0.128439
5555,0.0299702,0.307212
5555,0.0300312,0.111317
5555,0.0300922,0.110373
5555,0.0301533,0.109524
5555,0.0302143,0.112176
5555,0.0302753,0.120129
5555,0.0303364,0.116954
5555,0.0303974,0.116073
5555,0.0304585,0.108652
5555,0.0305195,0.096519
5555,0.0305805,0.092061
5555,0.0306416,0.093323
5555,0.0307026,0.102908
5555,0.0307636,0.100497
5555,0.0308247,0.093234
5555,0.0308857,0.090929
5555,0.0309467,0.101456
5555,0.0310078,0.104093
5555,0.0310688,0.092982
5555,0.0311298,0.09125
5555,0.0311909,0.104662
5555,0.0312519,0.105065
5555,0.0313129,0.153383
5555,0.031374,0.10741
5555,0.031435,0.09706
5555,0.031496,0.109851
5555,0.0315571,0.107876
5555,0.0316181,0.106335
5555,0.0316792,0.103732
5555,0.0317402,0.098624
5555,0.0318012,0.095408
5555,0.0318623,0.109801
5555,0.0319233,0.111157
5555,0.0319843,0.11482
5555,0.0320454,0.114133
5555,0.0321064,0.114944
5555,0.0321674,0.109331
5555,0.0322285,0.108662
5555,0.0322895,0.118277
5555,0.0323505,0.106719
5555,0.0324116,0.107422
5555,0.0324726,0.108251
5555,0.0325336,0.09977
5555,0.0325947,0.262326
5555,0.0326557,0.156577
5555,0.0327168,0.152016
5555,0.0327778,0.133629
5555,0.0328388,0.119663
5555,0.0328999,0.112279
5555,0.0329609,0.10916
5555,0.0330219,0.109499
5555,0.033083,0.148026
5555,0.033144,0.122227
5555,0.033205,0.108429
5555,0.0332661,0.104705
5555,0.0333271,0.099324
5555,0.0333881,0.133097
5555,0.0334492,0.111174
5555,0.0335102,0.103279
5555,0.0335712,0.117235
5555,0.0336323,0.127302
5555,0.0336933,0.120424
5555,0.0337543,0.115552
5555,0.0338154,0.103983
5555,0.0338764,0.105824
5555,0.0339375,0.104485
5555,0.0339985,0.098934
5555,0.0340595,0.09678
5555,0.0341206,0.096279
5555,0.0341816,0.102617
5555,0.0342426,0.110245
5555,0.0343037,0.130723
5555,0.0343647,0.106107
5555,0.0344257,0.101078
5555,0.0344868,0.108058
5555,0.0345478,0.105807
5555,0.0346088,0.104034
5555,0.0346699,0.105843
5555,0.0347309,0.101679
5555,0.0347919,0.099806
5555,0.034853,0.10379
5555,0.034914,0.108973
5555,0.0349751,0.108697
5555,0.0350361,0.098673
5555,0.0350971,0.100237
5555,0.0351582,0.094345
5555,0.0352192,0.108419
5555,0.0352802,0.110315
5555,0.0353413,0.105226
5555,0.0354023,0.116717
5555,0.0354633,0.11701
5555,0.0355244,0.127464
5555,0.0355854,0.107821
5555,0.0356464,0.109982
