Port,Size_MB,Latency_ms
5555,0.0387592,0.087513
5555,0.0388203,0.093945
5555,0.0388813,0.09684
5555,0.0389423,0.088724
5555,0.0390034,0.101349
5555,0.0390644,0.092592
5555,0.0391254,0.102711
5555,0.0391865,0.088805
5555,0.0392475,0.107063
5555,0.0393085,0.117804
5555,0.0393696,0.108692
5555,0.0394306,0.099595
5555,0.0394917,0.092652
5555,0.0395527,0.079086
5555,0.0396137,0.146713
5555,0.0396748,0.095062
5555,0.0397358,0.090529
5555,0.0397968,0.08077
5555,0.0398579,0.093114
5555,0.0399189,0.093845
5555,0.0399799,0.24666
5555,0.040041,0.118564
5555,0.040102,0.102426
5555,0.040163,0.094646
5555,0.0402241,0.11288
5555,0.0402851,0.102748
5555,0.0403461,0.104895
5555,0.0404072,0.09167
5555,0.0404682,0.095478
5555,0.0405293,0.087152
5555,0.0405903,0.08074
5555,0.0406513,0.090428
5555,0.0407124,0.089987
5555,0.0407734,0.081631
5555,0.0408344,0.091811
5555,0.0408955,0.106037
5555,0.0409565,0.132787
5555,0.0410175,0.089316
5555,0.0410786,0.094987
5555,0.0411396,0.088374
5555,0.0412006,0.093434
5555,0.0412617,0.087002
5555,0.0413227,0.097231
5555,0.0413837,0.099632
5555,0.0414448,0.09312
5555,0.0415058,0.094602
5555,0.0415668,0.082921
5555,0.0416279,0.100701
5555,0.0416889,0.099305
5555,0.04175,0.09129
5555,0.041811,0.092723
5555,0.041872,0.105787
5555,0.0419331,0.140141
5555,0.0419941,0.086841
5555,0.0420551,0.097772
5555,0.0421162,0.098573
5555,0.0421772,0.095748
5555,0.0422382,0.090728
5555,0.0422993,0.096128
5555,0.0423603,0.093283
5555,0.0424213,0.086841
5555,0.0424824,0.099475
5555,0.0425434,0.094425
5555,0.0426044,0.083946
5555,0.0426655,0.077705
5555,0.0427265,0.089967
5555,0.0427876,0.092662
5555,0.0428486,0.101408
5555,0.0429096,0.093143
5555,0.0429707,0.082012
5555,0.0430317,0.083064
5555,0.0430927,0.111407
5555,0.0431538,0.090478
5555,0.0432148,0.103432
5555,0.0432758,0.092431
5555,0.0433369,0.089887
5555,0.0433979,0.094225
5555,0.0434589,0.096208
5555,0.04352,0.195864
5555,0.043581,0.109644
5555,0.043642,0.114219
5555,0.0437031,0.09133
5555,0.0437641,0.079578
5555,0.0438251,0.071152
5555,0.0438862,0.071733
5555,0.0439472,0.156422
5555,0.0440083,0.097382
5555,0.0440693,0.095577
5555,0.0441303,0.083555
5555,0.0441914,0.083305
5555,0.0442524,0.093785
5555,0.0443134,0.08595
5555,0.0443745,0.107867
5555,0.0444355,0.094876
5555,0.0444965,0.081963
5555,0.0445576,0.089727
5555,0.0446186,0.122448
5555,0.0446796,0.089927
5555,0.0447407,0.095517
5555,0.0448017,0.183511
5555,0.0448627,0.091991
5555,0.0449238,0.088384
5555,0.0449848,0.085208
5555,0.0450459,0.083846
5555,0.0451069,0.089888
5555,0.0451679,0.100326
5555,0.045229,0.088375
5555,0.04529,0.090869
5555,0.045351,0.082764
5555,0.0454121,0.093283
5555,0.0454731,0.091169
5555,0.0455341,0.086471
5555,0.0455952,0.084387
5555,0.0456562,0.164136
5555,0.0457172,0.103934
5555,0.0457783,0.089426
5555,0.0458393,0.101289
5555,0.0459003,0.084697
5555,0.0459614,0.083886
5555,0.0460224,0.095328
5555,0.0460835,0.090979
5555,0.0461445,0.096339
5555,0.0462055,0.087984
5555,0.0462666,0.083495
5555,0.0463276,0.087673
5555,0.0463886,0.093284
5555,0.0464497,0.083465
5555,0.0465107,0.087984
5555,0.0465717,0.094561
5555,0.0466328,0.078627
5555,0.0466938,0.086992
5555,0.0467548,0.078767
5555,0.0468159,0.09682
5555,0.0468769,0.087833
5555,0.0469379,0.086261
5555,0.046999,0.094877
5555,0.04706,0.087763
5555,0.047121,0.091417
5555,0.0471821,0.281654
5555,0.0472431,0.115099
5555,0.0473042,0.096159
5555,0.0473652,0.097371
5555,0.0474262,0.199442
5555,0.0474873,0.101229
5555,0.0475483,0.106835
5555,0.0476093,0.097871
5555,0.0476704,0.094255
5555,0.0477314,0.089446
5555,0.0477924,0.087402
5555,0.0478535,0.095207
5555,0.0479145,0.082744
5555,0.0479755,0.086531
5555,0.0480366,0.140682
5555,0.0480976,0.119442
5555,0.0481586,0.129915
5555,0.0482197,0.124096
5555,0.0482807,0.123597
5555,0.0483418,0.098313
5555,0.0484028,0.103663
5555,0.0484638,0.126001
5555,0.0485249,0.10716
5555,0.0485859,0.093479
5555,0.0486469,0.095975
5555,0.048708,0.092452
5555,0.048769,0.092162
5555,0.04883,0.09709
5555,0.0488911,0.0803
5555,0.0489521,0.106625
5555,0.0490131,0.085468
5555,0.0490742,0.085669
5555,0.0491352,0.09148
5555,0.0491962,0.08602
5555,0.0492573,0.091155
5555,0.0493183,0.103353
5555,0.0493793,0.121169
5555,0.0494404,0.104665
5555,0.0495014,0.090529
