Size_Bytes,Time_Seconds
465395606,0.220242
466470423,0.219847
467545239,0.241138
468620056,0.267657
469694873,0.249306
470769689,0.263225
471844506,0.293559
472919323,0.236842
473994139,0.240044
475068956,0.307644
476143772,0.239964
477218589,0.367829
478293406,0.198748
479368222,0.246409
480443039,0.343191
481517856,0.246734
482592672,0.333674
483667489,0.272846
484742306,0.262105
485817122,0.32487
486891939,0.307062
487966755,0.275057
489041572,0.318092
490116389,0.250471
491191205,0.228361
492266022,0.310356
493340839,0.268404
494415655,0.342483
495490472,0.249711
496565289,0.359289
497640105,0.375244
498714922,0.28735
499789738,0.271808
500864555,0.237747
501939372,0.275657
503014188,0.272192
504089005,0.316986
505163822,0.271027
506238638,0.324853
507313455,0.260744
508388272,0.272246
509463088,0.319875
510537905,0.280037
511612721,0.369804
512687538,0.260434
513762355,0.30875
514837171,0.260168
515911988,0.319721
516986805,0.221377
518061621,0.263308
519136438,0.307213
520211255,0.286077
521286071,0.355746
522360888,0.279408
523435705,0.329461
524510521,0.254023
525585338,0.28262
526660154,0.298655
527734971,0.286458
528809788,0.303737
529884604,0.283991
530959421,0.321227
532034238,0.287556
533109054,0.293633
534183871,0.283402
535258688,0.3015
536333504,0.412519
537408321,0.320382
538483137,0.250749
539557954,0.276282
540632771,0.274505
541707587,0.239571
542782404,0.225897
543857221,0.227038
544932037,0.251009
546006854,0.241656
547081671,0.282471
548156487,0.275926
549231304,0.288938
550306120,0.302104
551380937,0.286376
552455754,0.338138
553530570,0.295472
554605387,0.336171
555680204,0.304458
556755020,0.409396
557829837,0.295353
558904654,0.364162
559979470,0.28793
561054287,0.317583
562129104,0.292952
563203920,0.3666
564278737,0.264412
565353553,0.302638
566428370,0.310012
567503187,0.342022
568578003,0.542499
569652820,0.320502
570727637,0.325967
571802453,0.308098
572877270,0.31921
573952087,0.324856
575026903,0.319973
576101720,0.307721
577176536,0.320075
578251353,0.312192
579326170,0.351386
580400986,0.33049
581475803,0.329731
582550620,0.323914
583625436,0.346268
584700253,0.329586
585775070,0.379788
586849886,0.273365
587924703,0.329008
588999519,0.314547
590074336,0.34432
591149153,0.336949
592223969,0.327664
593298786,0.361096
594373603,0.356425
595448419,0.329265
596523236,0.312333
597598053,0.336861
598672869,0.326729
599747686,0.357853
600822502,0.350632
601897319,0.368108
602972136,0.415759
604046952,0.346711
605121769,0.346581
606196586,0.354891
607271402,0.325581
608346219,0.372543
609421036,0.327452
610495852,0.380458
611570669,0.34353
612645486,0.379296
613720302,0.304178
614795119,0.351687
615869935,0.300809
616944752,0.368455
618019569,0.312127
619094385,0.36951
620169202,0.352792
621244019,0.390963
622318835,0.363639
623393652,0.450371
624468469,0.300294
625543285,0.386239
626618102,0.330919
